programName,teamName,plannedProgress,actualProgress,storypointPlanned,storypointCompleted
其他项目,思享驾,35,0,0,0
Unassigned Program,Unassigned Team,420,223,0,0
B端中后台,企业微信,33,4,0,0
平台支持类,质效平台,19,0,0,0
C端中台,销售中台,31,0,0,0
C端中台,用户运营,19,0,0,0
C端平台,移动充电售后,28,4,0,0
B端中后台,B端基础,46,2,0,0
C端中台,中台充电&售后,50,7,0,0
C端中台,充电中台,2,0,0,0
C端中台,中台基础&商城,28,2,0,0
C端中台,C端基础,5,0,0,0
C端中台,商城中台,5,0,0,0
C端平台,移动基础&商城,28,0,0,0
B端中后台,NewbieLTO&OTD,44,3,0,0
B端中后台,售后（DTCC）,57,8,0,0
其他项目,经销商呼叫中心 DCC,9,0,0,0
B端中后台,LiteCRM,17,1,0,0
其他项目,4in1,17,1,0,0
其他项目,NBMS,27,7,0,0
C端平台,移动销售购车,29,0,0,0
C端平台,移动活动&用户运营团队,16,0,0,0
C端平台,移动活动,32,4,0,0
C端平台,移动用户运营,9,0,0,0
C端平台,亚太车控团队,12,0,0,0
大数据组,CDPMA,37,20,0,0
大数据组,湖仓,56,54,0,0
B端中后台,CMS DMF,8,1,0,0
平台支持类,DOMP,37,12,0,0
大数据组,VCDC BI 售后,7,5,0,0
大数据组,VCDC BI 新业务,3,0,0,0
大数据组,VCDC BI 销售,8,0,0,0
大数据组,VCDC BI 网发,13,6,0,0
平台支持类,IAM,7,0,0,0
平台支持类,AI Drives,24,1,0,0
