Issue Key,Issue Type,Status,Resolved,Has '变更' Label,Team Parent,Team Child,Created
VSXJ-20285,运维任务,任务完成 Done,False,False,其他项目,思享驾,2025-01-20T14:43:08.000+0800
VSXJ-20256,技术需求Enabler,To Do,False,False,其他项目,思享驾,2025-01-17T18:11:05.000+0800
VSXJ-20196,BA工作任务,UAT完成,False,False,其他项目,思享驾,2025-01-15T19:54:57.000+0800
VSXJ-20195,BA工作任务,任务完成 Done,False,False,其他项目,思享驾,2025-01-15T19:54:05.000+0800
VSXJ-20194,BA工作任务,Closed,False,False,其他项目,思享驾,2025-01-15T19:52:06.000+0800
VSXJ-19429,运维任务,Closed,False,False,其他项目,思享驾,2025-01-10T16:21:56.000+0800
VSXJ-19423,运维任务,待确认,False,False,其他项目,思享驾,2025-01-10T12:01:55.000+0800
VSXJ-19146,运维任务,Closed,False,False,其他项目,思享驾,2025-01-02T18:48:43.000+0800
VSXJ-19116,运维任务,Closed,False,False,其他项目,思享驾,2025-01-02T15:08:15.000+0800
VSXJ-19115,运维任务,Closed,False,False,其他项目,思享驾,2025-01-02T15:07:00.000+0800
VSXJ-19114,运维任务,外部Review（PO/BA/BO）,False,False,其他项目,思享驾,2025-01-02T15:06:32.000+0800
VSXJ-19113,运维任务,Closed,False,False,其他项目,思享驾,2025-01-02T15:05:51.000+0800
VSXJ-19112,运维任务,Closed,False,False,其他项目,思享驾,2025-01-02T15:05:28.000+0800
VSXJ-18833,故事,任务完成 Done,False,False,其他项目,思享驾,2024-12-20T10:08:21.000+0800
VSXJ-18832,故事,外部Review（PO/BA/BO）,False,False,其他项目,思享驾,2024-12-20T09:58:56.000+0800
VSXJ-18831,故事,外部Review（PO/BA/BO）,False,False,其他项目,思享驾,2024-12-20T09:54:14.000+0800
VSXJ-18053,故事,外部Review（PO/BA/BO）,False,False,其他项目,思享驾,2024-12-16T18:05:25.000+0800
VSXJ-18052,故事,任务完成 Done,False,False,其他项目,思享驾,2024-12-16T18:04:47.000+0800
VSXJ-18049,故事,外部Review（PO/BA/BO）,False,False,其他项目,思享驾,2024-12-16T18:02:27.000+0800
VSXJ-18047,故事,发布待执行,False,False,其他项目,思享驾,2024-12-16T14:45:47.000+0800
VSXJ-18046,故事,发布待执行,False,False,其他项目,思享驾,2024-12-16T13:03:43.000+0800
VSXJ-17021,故事,任务完成 Done,False,False,其他项目,思享驾,2024-11-27T16:14:59.000+0800
VSXJ-16764,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:27:53.000+0800
VSXJ-16763,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:27:30.000+0800
VSXJ-16762,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:27:15.000+0800
VSXJ-16761,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:26:15.000+0800
VSXJ-16760,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:26:03.000+0800
VSXJ-16759,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:25:52.000+0800
VSXJ-16758,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:25:40.000+0800
VSXJ-16757,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:25:27.000+0800
VSXJ-16756,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:25:11.000+0800
VSXJ-16755,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:24:30.000+0800
VSXJ-16754,故事,To Do,False,False,其他项目,思享驾,2024-11-26T15:23:18.000+0800
VSXJ-15960,故事,To Do,False,False,其他项目,思享驾,2024-10-31T11:14:49.000+0800
VSXJ-15959,故事,In Progress,False,False,其他项目,思享驾,2024-10-31T11:11:56.000+0800
VOL-1902,故事,Done,True,False,,,2023-05-23T09:58:49.000+0800
VOL-1901,故事,Done,True,False,,,2023-05-23T09:57:46.000+0800
VOL-1900,故事,Done,True,False,,,2023-05-23T09:57:30.000+0800
VOL-1899,故事,Done,True,False,,,2023-05-23T09:57:04.000+0800
VOL-1898,故事,Done,True,False,,,2023-05-19T11:14:17.000+0800
VOL-1897,故事,Done,True,False,,,2023-05-19T11:13:20.000+0800
VOL-1896,故事,Done,True,False,,,2023-05-19T09:47:52.000+0800
VOL-1886,故事,Done,True,False,,,2023-05-17T14:39:52.000+0800
VOL-1769,故事,Done,True,False,,,2023-05-10T09:59:17.000+0800
VOL-1756,故事,Done,True,False,,,2023-05-08T21:52:54.000+0800
